iter	Passed	Remaining
476	12393	247435
477	12417	247371
478	12444	247348
479	12468	247290
480	12495	247283
481	12518	247206
482	12545	247192
483	12572	247184
484	12601	247229
485	12630	247264
486	12662	247352
487	12691	247375
488	12719	247401
489	12747	247411
490	12779	247490
491	12805	247461
492	12832	247455
493	12854	247364
494	12881	247349
495	12902	247233
496	12928	247194
497	12952	247134
498	12979	247128
499	13003	247060
500	13030	247063
501	13054	246991
502	13081	246981
503	13104	246914
504	13129	246868
505	13152	246775
506	13179	246777
507	13204	246730
508	13231	246712
509	13271	246945
510	13299	246968
511	13325	246933
512	13357	247025
513	13384	247013
